Versatile Defender, 3-Level Scorer, Two Way
Floor General, 3-Level Scorer, Two Way
3-Level Scorer, Sharpshooter, Two Way
3-Level Scorer, Perimeter Lockdown, Two Way
Two Way, 3-Level Scorer, Stretch Big
3-Level Scorer, Crafty Finisher, Playmaking Maestro
3-Level Scorer, Explosive Finisher, Two Way
Stretch Big, Paint Beast, 3-Level Scorer
Floor General, 3-Level Scorer, Mid Range Assassin
Defensive Anchor, Paint Beast, Explosive Finisher
Paint Beast, 3-Level Scorer, Two Way
Two Way, Stretch Big, Defensive Anchor
3-Level Scorer, Crafty Finisher, Mid Range Assassin
Explosive Finisher, Two Way, Defensive Anchor
